S.No,Product_Name,Product_ID,Price,Quantity,Category,Brand,Description,Rating(out_of_10),image
1,DELL Laptop,P0001,34101,22,Laptops,DELL,High performance laptop with latest specs,9,data/images/laptop1.jpeg
2,HP Laptop,P0002,96736,164,Laptops,HP,High performance laptop with latest specs,9,data/images/laptop2.jpeg
3,HP Laptop,P0003,71978,43,Laptops,HP,High performance laptop with latest specs,10,data/images/laptop3.jpeg
4,LENOVO Laptop,P0004,68350,123,Laptops,LENOVO,High performance laptop with latest specs,5,data/images/laptop4.jpeg
5,LENOVO Laptop,P0005,76889,108,Laptops,LENOVO,High performance laptop with latest specs,6,data/images/laptop5.jpg
6,HP Laptop,P0006,36844,91,Laptops,HP,High performance laptop with latest specs,9,data/images/laptop1.jpeg
7,DELL Laptop,P0007,35812,147,Laptops,DELL,High performance laptop with latest specs,5,data/images/laptop2.jpeg
8,DELL Laptop,P0008,36250,88,Laptops,DELL,High performance laptop with latest specs,9,data/images/laptop3.jpeg
9,DELL Laptop,P0009,54763,79,Laptops,DELL,High performance laptop with latest specs,9,data/images/laptop4.jpeg
10,DELL Laptop,P0010,65295,182,Laptops,DELL,High performance laptop with latest specs,5,data/images/laptop5.jpg
11,Redmi Mobile,P0011,25277,129,Mobiles,Redmi,Latest model smartphone with advanced features,9,data/images/mobile1.jpeg
12,Realme Mobile,P0012,58851,33,Mobiles,Realme,Latest model smartphone with advanced features,7,data/images/mobile2.jpeg
13,Vivo Mobile,P0013,29104,194,Mobiles,Vivo,Latest model smartphone with advanced features,9,data/images/mobile3.jpeg
14,Vivo Mobile,P0014,35012,153,Mobiles,Vivo,Latest model smartphone with advanced features,5,data/images/mobile4.jpeg
15,Redmi Mobile,P0015,59846,87,Mobiles,Redmi,Latest model smartphone with advanced features,6,data/images/mobile5.jpeg
16,Redmi Mobile,P0016,20249,40,Mobiles,Redmi,Latest model smartphone with advanced features,5,data/images/mobile1.jpeg
17,Apple IPhone Mobile,P0017,63151,111,Mobiles,Apple,Latest model smartphone with advanced features,10,data/images/mobile2.jpeg
18,Oppo Mobile,P0018,41964,17,Mobiles,Oppo,Latest model smartphone with advanced features,8,data/images/mobile3.jpeg
19,Apple Mobile,P0019,46094,134,Mobiles,Apple,Latest model smartphone with advanced features,6,data/images/mobile4.jpeg
20,Apple Mobile,P0020,18243,49,Mobiles,Apple,Latest model smartphone with advanced features,5,data/images/mobile5.jpeg
21,Realme Earbud,P0021,5379,25,Earbuds,Realme,Wireless earbuds with great sound quality,6,data/images/earbud1.jpeg
22,Boat Earbud,P0022,1786,62,Earbuds,Boat,Wireless earbuds with great sound quality,8,data/images/earbud2.jpeg
23,Samsung Earbud,P0023,1377,125,Earbuds,Samsung,Wireless earbuds with great sound quality,9,data/images/earbud3.jpeg
24,Boat Earbud,P0024,6867,62,Earbuds,Boat,Wireless earbuds with great sound quality,6,data/images/earbud4.jpg
25,Realme Earbud,P0025,5882,117,Earbuds,Realme,Wireless earbuds with great sound quality,10,data/images/earbud5.jpg
